#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-06-20;Andorre;855;52;792;6.08;92.63;1.29
2020-06-20;Émirats Arabes Unis;44533;301;31754;0.68;71.30;28.02
2020-06-20;Afghanistan;28424;569;8292;2.00;29.17;68.83
2020-06-20;Antigua-et-Barbuda;26;3;22;11.54;84.62;3.85
2020-06-20;Albanie;1891;42;1126;2.22;59.55;38.23
2020-06-20;Arménie;19708;332;8854;1.68;44.93;53.39
2020-06-20;Angola;172;8;66;4.65;38.37;56.98
2020-06-20;Argentine;39570;979;11851;2.47;29.95;67.58
2020-06-20;Autriche;17323;688;16175;3.97;93.37;2.66
2020-06-20;Australie;7436;102;6888;1.37;92.63;6.00
2020-06-20;Azerbaïdjan;11767;143;6325;1.22;53.75;45.03
2020-06-20;Bosnie-Herzégovine;3273;169;2241;5.16;68.47;26.37
2020-06-20;Barbade;97;7;85;7.22;87.63;5.15
2020-06-20;Bangladesh;108775;1425;43993;1.31;40.44;58.25
2020-06-20;Belgique;60550;9696;16771;16.01;27.70;56.29
2020-06-20;Burkina Faso;900;53;810;5.89;90.00;4.11
2020-06-20;Bulgarie;3755;193;2008;5.14;53.48;41.38
2020-06-20;Bahreïn;20916;58;15287;0.28;73.09;26.64
2020-06-20;Burundi;104;1;75;0.96;72.12;26.92
2020-06-20;Bénin;650;11;247;1.69;38.00;60.31
2020-06-20;Brunéi Darussalam;141;3;138;2.13;97.87;0.00
2020-06-20;Bolivie;22476;715;4670;3.18;20.78;76.04
2020-06-20;Brésil;1032913;48954;556126;4.74;53.84;41.42
2020-06-20;Bahamas;104;11;74;10.58;71.15;18.27
2020-06-20;Bhoutan;68;0;28;0.00;41.18;58.82
2020-06-20;Botswana;89;1;25;1.12;28.09;70.79
2020-06-20;Bélarus;57936;343;36749;0.59;63.43;35.98
2020-06-20;Belize;22;2;17;9.09;77.27;13.64
2020-06-20;Canada;102314;8408;64318;8.22;62.86;28.92
2020-06-20;Rép. Dém. du Congo;5672;125;807;2.20;14.23;83.57
2020-06-20;République Centrafricaine;2605;19;417;0.73;16.01;83.26
2020-06-20;Congo (Brazzaville);883;27;391;3.06;44.28;52.66
2020-06-20;Suisse;31243;1956;28900;6.26;92.50;1.24
2020-06-20;Côte d'Ivoire;6874;49;2942;0.71;42.80;56.49
2020-06-20;Chili;231393;4093;191491;1.77;82.76;15.48
2020-06-20;Cameroun;10638;282;7548;2.65;70.95;26.40
2020-06-20;Chine;84525;4638;79532;5.49;94.09;0.42
2020-06-20;Colombie;60387;2046;22726;3.39;37.63;58.98
2020-06-20;Costa Rica;2058;12;982;0.58;47.72;51.70
2020-06-20;Cuba;2305;85;2037;3.69;88.37;7.94
2020-06-20;Cap-vert;848;8;377;0.94;44.46;54.60
2020-06-20;Chypre;985;19;818;1.93;83.05;15.03
2020-06-20;République Tchèque;10406;335;7473;3.22;71.81;24.97
2020-06-20;Allemagne;190670;8895;174577;4.67;91.56;3.78
2020-06-20;Djibouti;4565;45;3565;0.99;78.09;20.92
2020-06-20;Danemark;12591;600;11482;4.77;91.19;4.04
2020-06-20;Dominique;18;0;18;0.00;100.00;0.00
2020-06-20;République Dominicaine;25068;647;14605;2.58;58.26;39.16
2020-06-20;Algérie;11504;825;8196;7.17;71.24;21.58
2020-06-20;Équateur;49731;4156;24446;8.36;49.16;42.49
2020-06-20;Estonie;1981;69;1758;3.48;88.74;7.77
2020-06-20;Égypte;52211;2017;13928;3.86;26.68;69.46
2020-06-20;Sahara Occidental;9;1;8;11.11;88.89;0.00
2020-06-20;Érythrée;142;0;39;0.00;27.46;72.54
2020-06-20;Espagne;245575;28315;150376;11.53;61.23;27.24
2020-06-20;Éthiopie;4070;72;1029;1.77;25.28;72.95
2020-06-20;Finlande;7142;326;6200;4.56;86.81;8.63
2020-06-20;Fidji;18;0;18;0.00;100.00;0.00
2020-06-20;France;197353;29617;74117;15.01;37.56;47.44
2020-06-20;Gabon;4428;34;1750;0.77;39.52;59.71
2020-06-20;Royaume-Uni;303285;42546;1319;14.03;0.43;85.54
2020-06-20;Grenade;23;0;23;0.00;100.00;0.00
2020-06-20;Géorgie;898;14;752;1.56;83.74;14.70
2020-06-20;Ghana;13203;70;4548;0.53;34.45;65.02
2020-06-20;Gambie;36;1;24;2.78;66.67;30.56
2020-06-20;Guinée;4904;27;3522;0.55;71.82;27.63
2020-06-20;Guinée Équatoriale;1664;32;515;1.92;30.95;67.13
2020-06-20;Grèce;3237;189;1374;5.84;42.45;51.71
2020-06-20;Guatemala;12509;483;2419;3.86;19.34;76.80
2020-06-20;Guinée-Bissau;1541;17;153;1.10;9.93;88.97
2020-06-20;Guyana;183;12;102;6.56;55.74;37.70
2020-06-20;Honduras;11258;349;1214;3.10;10.78;86.12
2020-06-20;Croatie;2299;107;2142;4.65;93.17;2.17
2020-06-20;Haïti;4980;87;24;1.75;0.48;97.77
2020-06-20;Hongrie;4086;570;2585;13.95;63.26;22.79
2020-06-20;Indonésie;45029;2429;17883;5.39;39.71;54.89
2020-06-20;Irlande;25368;1714;22698;6.76;89.47;3.77
2020-06-20;Israël;20339;304;15586;1.49;76.63;21.87
2020-06-20;Inde;395048;12948;213831;3.28;54.13;42.59
2020-06-20;Iraq;27352;925;12205;3.38;44.62;52.00
2020-06-20;Iran;202584;9507;161384;4.69;79.66;15.64
2020-06-20;Islande;1819;10;1801;0.55;99.01;0.44
2020-06-20;Italie;238011;34561;181907;14.52;76.43;9.05
2020-06-20;Jamaïque;652;10;458;1.53;70.25;28.22
2020-06-20;Jordanie;1008;9;708;0.89;70.24;28.87
2020-06-20;Japon;17720;951;15844;5.37;89.41;5.22
2020-06-20;Kenya;4374;119;1550;2.72;35.44;61.84
2020-06-20;Kirghizistan;2981;35;1981;1.17;66.45;32.37
2020-06-20;Cambodge;129;0;126;0.00;97.67;2.33
2020-06-20;Comores;210;5;129;2.38;61.43;36.19
2020-06-20;Saint-Kitts-et-Nevis;15;0;15;0.00;100.00;0.00
2020-06-20;Corée du Sud;12373;280;10856;2.26;87.74;10.00
2020-06-20;Koweït;39145;319;30726;0.81;78.49;20.69
2020-06-20;Kazakhstan;16779;113;10411;0.67;62.05;37.28
2020-06-20;Laos;19;0;19;0.00;100.00;0.00
2020-06-20;Liban;1510;32;960;2.12;63.58;34.30
2020-06-20;Sainte-Lucie;19;0;18;0.00;94.74;5.26
2020-06-20;Liechtenstein;82;1;55;1.22;67.07;31.71
2020-06-20;Sri Lanka;1950;11;1446;0.56;74.15;25.28
